id,Pregunta,Respuesta,Categoría,fechaCreacion,fechaModificacion
1,¿Que es ingenieria de software?,Es la aplicación de principios de ingeniería al desarrollo mantenimiento y gestión de software,,,2025-06-30T01:03:49.200237+00:00
2,¿Dónde se encuentra el departamento de computación?,El departamento de ciencias de la computación se encuentra dentro del bloque H en el campus de la Universidad,,,
3,¿Dónde se encuentra el psicólogo de la universidad?,"En bienestar estudiantil, junto al bar gunta",,,
4,¿Dónde se encuentra el departamento de computación?,El departamento de ciQue proceso tengo que hacer si aprobe a primer nivel en modalidad presencial?,,,
5,¿Dónde se encuentra el psicólogo de la universidad?,"En bienestar estudiantil, junto al bar",,,
6,¿Cada cuánto tiempo se da las becas economicas?,Una vez al año,,,
7,¿Cuántos accesos exiten en la matriz de la universidad,Dos accesos  para vehiculos y peatones,,,
8,¿El departamento de computación cuenta con algún club?,"Si, el club de Software",,,
9,¿Cuáles son mis derechos como estudiante?,"Según el articulo 5 de la LOES, los derechos de los estudiantes son:
=======
﻿Pregunta,Respuesta
¿Dónde se encuentra el departamento de computación?,El departamento de ciencias de la computación se encuentra dentro del bloque H en el campus de la Universidad 
¿Dónde se encuentra el psicólogo de la universidad? ,"En bienestar estudiantil, junto al bar "
¿Cada cuánto tiempo se da las becas economicas?,Una vez al año
¿Cuántos accesos exiten en la matriz de la universidad ,Dos accesos  para vehiculos y peatones
¿El departamento de computación cuenta con algún club?,"Si, el club de Software"
¿Cuáles son mis derechos como estudiante?,"Según el articulo 5 de la LOES, los derechos de los estudiantes son:
>>>>>>> Stashed changes

a) Acceder, movilizarse, permanecer, egresar y titularse sin discriminación conforme sus méritos académicos.

b) Acceder a una educación superior de calidad y pertinente, que permita iniciar una carrera académica y/o profesional en igualdad de oportunidades.

c) Contar y acceder a los medios y recursos adecuados para su formación superior; garantizados por la Constitución.

d) Participar en el proceso de evaluación y acreditación de su carrera.

e) Elegir y ser elegido para las representaciones estudiantiles e integrar el cogobierno, en el caso de las instituciones de educación superior.

f) Ejercer la libertad de asociarse, expresarse y completar su formación bajo la más amplia libertad de cátedra e investigativa.

g) Participar en el proceso de construcción, difusión y aplicación del conocimiento.

h) El derecho a recibir una educación superior laica, intercultural, democrática, incluyente y diversa, que impulse la equidad de género, la justicia y la paz.

i) Obtener de acuerdo con sus méritos académicos becas, créditos y otras formas de apoyo económico que le garantice igualdad de oportunidades en el proceso de formación de educación superior.

j) A desarrollarse en un ámbito educativo libre de todo tipo de violencia.",,,
10,¿Cuándo se consideran estudiantes regulares de la espe?,"Son aquellos matriculados en el 60% de las asignaturas, cursos o sus equivalentes que permite su estudio en el periodo académico ordinarios original.",,,
11,¿Cuándo pierdo gratuidad de estudio?,"Según el articulo 11 del reglamento para garantizar el cumplimiento de gratuidad de educación superior pública, preescribe que se pierde la gratuidad de estudio público al perder el 30% de las horas correspondidas a las asigaturas.",,,
12,¿Quiénes son beneficiarios de las becas proprocionadas por la Universidad?,"En el artículo 77, establece ""Las instituciones de educación superior establecerán programas de becas completas o su equivalente en ayudas económicas que apoyen en su escolaridad a por lo menos el 10% del número de estudiantes regulares. Serán beneficiarios quienes no cuenten con recursos económicos suficientes, los estudiantes regulares con alto promedio y distinción académica, los deportistas de alto rendimiento que representen al país en eventos interna ciona les, a condición de que acrediten niveles de rendimiento académico regulados por cada institución y los discapacitados.""",,,
13,¿En qué me puede ayudar bienestar estudiantil?,"En el artículo 86 indica la s funciones de Unidad de Bienestar Estudiantil.- ""Las instituciones de educación superior mantendrán una unidad administrativa de Bienestar Estudiantil destinada a promover la orientación vocacional y profesional, facilitar la obtención de créditos, estímulos, ayudas económicas y becas, y ofrecer los servicios asistenciales que se determinen en las normativas de cada institución. Esta unidad,
además, se encargará de promover un ambiente de respeto a los derechos y a la integridad física, psicológica y sexual de las y los estudiantes, en un ambiente libre de violencia, y brindará asistencia a quienes demanden por violaciones de estos derechos.",,,
14,¿Dónde puedo pedir o reservar un aula que no está en uso?,"Para reservar un aula que no se encuentra en uso, puedes hacerlo directamente con los encargados de los diferentes laboratorios",,,
15,¿En qué bloque me pueden dar información acerca la plataforma mi espe?,"Puedes acercate directamente a las oficias de TICS que se encuentra en el bloque A, ellos te pueden ayudar con información de la plataforma y mucho más.",,,
16,¿Dónde se encuentran los puntos de recarga y pago para el parqueadero?,"Actualmente hay 2 puntos de pago y recarga de tarjetas para el parqueadero, uno de ellos se encuentra en el Bloque C segundo piso, y otro cerca de la biblioteca.",,,
17,Tengo problemas con mi correo institucional ¿Con quién me contacto para solucionar esto?,"Si es problemas por almacenamiento en tu cuenta, trata de borrar archivos que no te sirven con ello en unos días ya podrás hacer uso de tu correo, sino puedes ir al edificio de TICS para explicar tu problema, tambien tienes a disposición el Help Desk",,,
18,"No tengo cargado mis cursos, y ya realicé el pago ¿Cómo lo soluciono?","Podrías mandar un correo al departamento de TICS informando de tu problema, pero habitualmente el tiempo que demora en activar las aulas virtuales para los estudiantes que recien realizan el pago de su matricula es de 5 días aproximadamente.",,,
